Country Code,Country Name,Power Plant Name,Power Plant Capacity(MWh),Latitude,Longitude,Primary Fuel,GNI,Population,Country Status
AFG,Afghanistan,Kajaki Hydroelectric Power Plant Afghanistan,33.0,32.321999999999996,65.119,Hydro,500.0,38928341.0,Developing
AFG,Afghanistan,Kandahar DOG,10.0,31.67,65.795,Solar,500.0,38928341.0,Developing
AFG,Afghanistan,Kandahar JOL,10.0,31.623,65.792,Solar,500.0,38928341.0,Developing
AFG,Afghanistan,Mahipar Hydroelectric Power Plant Afghanistan,66.0,34.556,69.4787,Hydro,500.0,38928341.0,Developing
AFG,Afghanistan,Naghlu Dam Hydroelectric Power Plant Afghanistan,100.0,34.641,69.717,Hydro,500.0,38928341.0,Developing
AFG,Afghanistan,Nangarhar (Darunta) Hydroelectric Power Plant Afghanistan,11.55,34.4847,70.3633,Hydro,500.0,38928341.0,Developing
AFG,Afghanistan,Northwest Kabul Power Plant Afghanistan,42.0,34.5638,69.1134,Gas,500.0,38928341.0,Developing
AFG,Afghanistan,Pul-e-Khumri Hydroelectric Power Plant Afghanistan,6.0,35.9416,68.71,Hydro,500.0,38928341.0,Developing
AFG,Afghanistan,Sarobi Dam Hydroelectric Power Plant Afghanistan,22.0,34.5865,69.7757,Hydro,500.0,38928341.0,Developing
ALB,Albania,Bistrica 1,27.0,39.9116,20.1047,Hydro,5210.0,2837743.0,Developing
ALB,Albania,Fierza,500.0,42.2514,20.0431,Hydro,5210.0,2837743.0,Developing
ALB,Albania,Koman,600.0,42.1033,19.8224,Hydro,5210.0,2837743.0,Developing
ALB,Albania,Lanabregas,5.0,41.3428,19.8964,Hydro,5210.0,2837743.0,Developing
ALB,Albania,Shkopet,24.0,41.6796,19.8305,Hydro,5210.0,2837743.0,Developing
ALB,Albania,Ulez,25.0,41.6796,19.8936,Hydro,5210.0,2837743.0,Developing
ALB,Albania,Vau i Dijes,250.0,42.0137,19.6359,Hydro,5210.0,2837743.0,Developing
ALB,Albania,Vlora,98.0,40.4874,19.434,Other,5210.0,2837743.0,Developing
DZA,Algeria,Adrar,20.0,27.908,-0.317,Solar,3570.0,43851043.0,Developing
DZA,Algeria,Ain Azel,20.0,35.88,5.475,Solar,3570.0,43851043.0,Developing
DZA,Algeria,Ain Djasser,520.0,35.8665,6.0262,Gas,3570.0,43851043.0,Developing
DZA,Algeria,Ain Sekhouna,20.0,34.532,0.804,Solar,3570.0,43851043.0,Developing
DZA,Algeria,Ain el Ibel I,20.0,34.346,3.1639999999999997,Solar,3570.0,43851043.0,Developing
