"Data Source","World Development Indicators",

"Last Updated Date","2022-04-08",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10360","11760","12230","13190","13990","14620","15640","16230","16370","17220","17620","17880","20000","19170","17890","20070","22630","19200","23340","21680","25510","23770","22380","22450","23520","24510","25350","26560","26840","27120","","","",
"Africa Eastern and Southern","AFE","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","568.889085299233","540.705641385151","486.787784934267","492.653962463737","561.468305558411","634.503551395843","657.558962054882","638.966300624681","662.73122272786","664.105459987647","679.395465851582","691.552594120532","736.410208930738","747.491020788729","750.493269460568","693.264194357438","672.084001848443","666.870146530669","639.798491980841","624.488638677348","674.623360418215","821.064986896816","1027.76845753196","1156.45994350075","1267.68261341629","1353.58328600105","1368.65894591651","1436.90910213274","1563.67637050251","1669.13422582095","1697.84416343462","1677.09481848319","1579.43451246161","1475.40552696658","1441.53174622605","1494.71017059134","1535.77685618971","1406.28900683756",
"Afghanistan","AFG","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","450","510","530","630","650","630","590","550","530","510","520","500",
"Africa Western and Central","AFW","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","113.682774720585","122.151562723855","128.210426763014","133.154858775704","136.076073342751","128.792832563175","130.417219660746","143.033752317414","170.464729858424","179.002735629144","192.907347266948","216.294809423731","300.837412765683","358.214598566145","422.63865691887","455.231022315787","478.73628299449","558.914950782172","646.021027582754","762.946789872852","876.473866512333","925.185268363174","757.908977058447","685.766304771185","623.020924454693","614.855207700361","630.142669573591","563.566102942305","556.065001857948","541.615077627494","552.706213225852","471.93220842623","416.300539701013","407.933065475634","427.100408863607","465.582077571277","463.578133149452","465.941051025835","456.075182167284","480.245828307961","525.026891518552","587.682866956194","714.611721026501","844.712632338996","1032.37320177792","1199.46586124875","1446.55427839839","1518.44423776218","1575.79647271806","1605.67304967173","1774.03499784381","1931.80795617869","2061.52293679647","2005.47691182776","1782.15399024211","1611.48948341847","1611.86561950205","1669.1533225327","1654.42565980847",
"Angola","AGO","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","590","680","670","650","860","780","1380","1170","","330","440","320","450","410","330","360","390","590","710","1010","1370","1810","2460","3030","3170","3230","3410","4170","4780","5010","4520","3770","3450","3210","2970","2140",
"Albania","ALB","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","700","730","730","760","650","410","280","320","380","640","890","800","860","950","1100","1280","1370","1650","2100","2620","3050","3460","4040","4280","4360","4410","4360","4540","4540","4390","4320","4290","4860","5230","5210",
"Andorra","AND","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","2937.61553207756","2565.66882301187","2523.79506685014","2488.72465654502","2656.40741209601","2733.4528550527","2775.72264237122","2640.84261144504","3004.24660037426","2192.53031450798","2236.7441543303","2139.62042995574","2131.65452878118","2184.60136097078","2314.7261638144","2423.56916812799","2438.87277306283","2455.14936922209","2614.49407351925","2726.04521089548","2689.05068194579","2869.31315170338","3328.05979364635","3790.78142796152","4374.37884714378","5021.80826417988","5882.16181800765","5999.43429632433","6275.78726136605","6229.71306899213","6954.33894714667","7359.84285698139","7381.67855144543","6880.22674439602","6415.15540717703","5940.74011997762","6171.0117675156","6419.0812391317","5932.74186976214",
"United Arab Emirates","ARE","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31400","31970","30940","32780","36160","37500","39380","39590","39910","35000","33400","35030","39220","42840","44370","42870","40550","39280","41470","43830","39410",
"Argentina","ARG","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","1120","1230","1350","1240","1210","1300","1320","1470","1470","1820","2470","2720","2360","2220","2190","2630","2910","2820","2670","2870","2830","2700","3020","3590","3960","2930","3190","3860","6070","7120","7620","7360","7740","8150","8030","7580","7470","7000","4040","3650","3370","4260","5480","6510","7670","7790","9270","10710","11870","12840","12330","12590","12220","13140","12430","11250","9070",
